Type,Volume,Energy,Periodic Boundary Conditions,a_x,a_y,a_z,b_x,b_y,b_z,c_x,c_y,c_z,Model,v0,e0,Bulk_Modulus_GPa
Raw,16.900000000000002,-11.781563758850098,[ True  True  True],0.0,2.03681805624826,2.03681805624826,2.03681805624826,0.0,2.03681805624826,2.03681805624826,2.03681805624826,0.0,,,,
Raw,17.200000000000003,-11.825566291809082,[ True  True  True],0.0,2.0487996145182663,2.0487996145182663,2.0487996145182663,0.0,2.0487996145182663,2.0487996145182663,2.0487996145182663,0.0,,,,
Raw,17.500000000000004,-11.861849784851074,[ True  True  True],0.0,2.0606426499042785,2.0606426499042785,2.0606426499042785,0.0,2.0606426499042785,2.0606426499042785,2.0606426499042785,0.0,,,,
Raw,17.800000000000004,-11.891029357910156,[ True  True  True],0.0,2.072351098059261,2.072351098059261,2.072351098059261,0.0,2.072351098059261,2.072351098059261,2.072351098059261,0.0,,,,
Raw,18.100000000000005,-11.91366195678711,[ True  True  True],0.0,2.0839287187204754,2.0839287187204754,2.0839287187204754,0.0,2.0839287187204754,2.0839287187204754,2.0839287187204754,0.0,,,,
Raw,18.400000000000006,-11.930268287658691,[ True  True  True],0.0,2.0953791063432945,2.0953791063432945,2.0953791063432945,0.0,2.0953791063432945,2.0953791063432945,2.0953791063432945,0.0,,,,
Raw,18.700000000000006,-11.941367149353027,[ True  True  True],0.0,2.106705699930155,2.106705699930155,2.106705699930155,0.0,2.106705699930155,2.106705699930155,2.106705699930155,0.0,,,,
Raw,19.000000000000007,-11.947439193725586,[ True  True  True],0.0,2.1179117921274466,2.1179117921274466,2.1179117921274466,0.0,2.1179117921274466,2.1179117921274466,2.1179117921274466,0.0,,,,
Raw,19.19,-11.948894500732422,[ True  True  True],0.0,2.124948095618028,2.124948095618028,2.124948095618028,0.0,2.124948095618028,2.124948095618028,2.124948095618028,0.0,,,,
Raw,19.300000000000008,-11.948935508728027,[ True  True  True],0.0,2.129000537655505,2.129000537655505,2.129000537655505,0.0,2.129000537655505,2.129000537655505,2.129000537655505,0.0,,,,
Raw,19.60000000000001,-11.946224212646484,[ True  True  True],0.0,2.139974961130159,2.139974961130159,2.139974961130159,0.0,2.139974961130159,2.139974961130159,2.139974961130159,0.0,,,,
Raw,19.90000000000001,-11.939616203308105,[ True  True  True],0.0,2.150837964328351,2.150837964328351,2.150837964328351,0.0,2.150837964328351,2.150837964328351,2.150837964328351,0.0,,,,
Raw,20.20000000000001,-11.929360389709473,[ True  True  True],0.0,2.161592332945083,2.161592332945083,2.161592332945083,0.0,2.161592332945083,2.161592332945083,2.161592332945083,0.0,,,,
