Type,Volume,Energy,Model,v0,e0,Bulk_Modulus_GPa,Pressure
Interpolated,11.854308617234471,-9.320617976353926,,,,,
Interpolated,11.87615230460922,-9.356586935879072,,,,,
Interpolated,11.897995991983969,-9.392296572483318,,,,,
Interpolated,11.91983967935872,-9.42774434202878,,,,,
Interpolated,11.941683366733468,-9.462927700377563,,,,,
Interpolated,11.963527054108217,-9.49784410339178,,,,,
Interpolated,11.985370741482967,-9.53249100693355,,,,,
Interpolated,12.007214428857717,-9.566865848022104,,,,,
Interpolated,12.029058116232466,-9.600964907805508,,,,,
Interpolated,12.050901803607216,-9.634782661131332,,,,,
Interpolated,12.072745490981966,-9.66831342573555,,,,,
Interpolated,12.094589178356715,-9.70155151935414,,,,,
Interpolated,12.116432865731465,-9.734491259723079,,,,,
Interpolated,12.138276553106214,-9.76712696457834,,,,,
Interpolated,12.160120240480964,-9.799452951655905,,,,,
Interpolated,12.181963927855714,-9.831463538691743,,,,,
Interpolated,12.203807615230463,-9.863153043421836,,,,,
Interpolated,12.225651302605213,-9.894515783582154,,,,,
Interpolated,12.247494989979963,-9.925546076908677,,,,,
Interpolated,12.269338677354712,-9.956238241137386,,,,,
Interpolated,12.291182364729462,-9.986586594004251,,,,,
Interpolated,12.31302605210421,-10.016585453245249,,,,,
Interpolated,12.33486973947896,-10.046229136596356,,,,,
Interpolated,12.356713426853709,-10.075511961793548,,,,,
Interpolated,12.378557114228459,-10.104428246572803,,,,,
Interpolated,12.400400801603208,-10.132972308670102,,,,,
Interpolated,12.422244488977958,-10.161138465821413,,,,,
Interpolated,12.444088176352707,-10.188921035762712,,,,,
Interpolated,12.465931863727457,-10.216314336229985,,,,,
Interpolated,12.487775551102207,-10.243312684959196,,,,,
Interpolated,12.509619238476956,-10.269910553536103,,,,,
Interpolated,12.531462925851706,-10.29610718173904,,,,,
Interpolated,12.553306613226455,-10.321907380997507,,,,,
Interpolated,12.575150300601205,-10.347316278505037,,,,,
Interpolated,12.596993987975955,-10.372339001455167,,,,,
Interpolated,12.618837675350704,-10.396980677041428,,,,,
