Type,Volume,Energy,Model,v0,e0,Bulk_Modulus_GPa,Pressure
Interpolated,11.198997995991984,-7.876302816945985,,,,,
Interpolated,11.220841683366734,-7.910050266443217,,,,,
Interpolated,11.242685370741484,-7.943543100154164,,,,,
Interpolated,11.264529058116233,-7.976783489353296,,,,,
Interpolated,11.286372745490983,-8.009773605315077,,,,,
Interpolated,11.308216432865732,-8.04251561931397,,,,,
Interpolated,11.330060120240482,-8.075011702624444,,,,,
Interpolated,11.351903807615232,-8.107264026520962,,,,,
Interpolated,11.373747494989981,-8.139274762277985,,,,,
Interpolated,11.395591182364731,-8.171046081169985,,,,,
Interpolated,11.41743486973948,-8.202580154471423,,,,,
Interpolated,11.43927855711423,-8.233879153456764,,,,,
Interpolated,11.46112224448898,-8.264945249400473,,,,,
Interpolated,11.48296593186373,-8.295780613577017,,,,,
Interpolated,11.504809619238479,-8.326387416459315,,,,,
Interpolated,11.526653306613227,-8.356767695315659,,,,,
Interpolated,11.548496993987976,-8.386923206497846,,,,,
Interpolated,11.570340681362726,-8.416855670749433,,,,,
Interpolated,11.592184368737476,-8.446566808813968,,,,,
Interpolated,11.614028056112225,-8.476058341434998,,,,,
Interpolated,11.635871743486975,-8.505331989356076,,,,,
Interpolated,11.657715430861725,-8.53438947332075,,,,,
Interpolated,11.679559118236474,-8.563232514072578,,,,,
Interpolated,11.701402805611224,-8.5918628323551,,,,,
Interpolated,11.723246492985973,-8.620282148911867,,,,,
Interpolated,11.745090180360723,-8.648492184486438,,,,,
Interpolated,11.766933867735473,-8.676494659822353,,,,,
Interpolated,11.788777555110222,-8.70429129566317,,,,,
Interpolated,11.810621242484972,-8.731883812752434,,,,,
Interpolated,11.832464929859722,-8.759273931833699,,,,,
Interpolated,11.854308617234471,-8.786463373650511,,,,,
Interpolated,11.87615230460922,-8.813453858946426,,,,,
Interpolated,11.897995991983969,-8.84024710846499,,,,,
Interpolated,11.91983967935872,-8.866844842949755,,,,,
Interpolated,11.941683366733468,-8.89324878314427,,,,,
Interpolated,11.963527054108217,-8.919460649792084,,,,,
Interpolated,11.985370741482967,-8.94548216363675,,,,,
Interpolated,12.007214428857717,-8.971315043001512,,,,,
Interpolated,12.029058116232466,-8.99696085774171,,,,,
Interpolated,12.050901803607216,-9.022420945699249,,,,,
Interpolated,12.072745490981966,-9.047696624535558,,,,,
Interpolated,12.094589178356715,-9.072789211912065,,,,,
Interpolated,12.116432865731465,-9.097700025490202,,,,,
Interpolated,12.138276553106214,-9.122430382931391,,,,,
Interpolated,12.160120240480964,-9.146981601897068,,,,,
Interpolated,12.181963927855714,-9.171355000048656,,,,,
Interpolated,12.203807615230463,-9.195551895047592,,,,,
Interpolated,12.225651302605213,-9.219573604555297,,,,,
Interpolated,12.247494989979963,-9.243421446233201,,,,,
