Type,Volume,Energy,Model,v0,e0,Bulk_Modulus_GPa,Pressure
Interpolated,12.269338677354712,-9.110628947223047,,,,,
Interpolated,12.291182364729462,-9.136434863600341,,,,,
Interpolated,12.31302605210421,-9.162026648564579,,,,,
Interpolated,12.33486973947896,-9.187407361643876,,,,,
Interpolated,12.356713426853709,-9.212580062366348,,,,,
Interpolated,12.378557114228459,-9.237547810260105,,,,,
Interpolated,12.400400801603208,-9.26231366485327,,,,,
Interpolated,12.422244488977958,-9.286880685673948,,,,,
Interpolated,12.444088176352707,-9.311251932250256,,,,,
Interpolated,12.465931863727457,-9.335430464110308,,,,,
Interpolated,12.487775551102207,-9.359419340782217,,,,,
Interpolated,12.509619238476956,-9.3832216022697,,,,,
Interpolated,12.531462925851706,-9.40683968346607,,,,,
Interpolated,12.553306613226455,-9.430275312190853,,,,,
Interpolated,12.575150300601205,-9.453530176191338,,,,,
Interpolated,12.596993987975955,-9.47660596321482,,,,,
Interpolated,12.618837675350704,-9.49950436100859,,,,,
Interpolated,12.640681362725454,-9.52222705731994,,,,,
Interpolated,12.662525050100204,-9.544775739896163,,,,,
Interpolated,12.684368737474951,-9.567152096484552,,,,,
Interpolated,12.706212424849703,-9.5893578148324,,,,,
Interpolated,12.72805611222445,-9.611394582686996,,,,,
Interpolated,12.7498997995992,-9.633264087795636,,,,,
Interpolated,12.77174348697395,-9.654968017905611,,,,,
Interpolated,12.7935871743487,-9.676508060764213,,,,,
Interpolated,12.81543086172345,-9.697885904118737,,,,,
Interpolated,12.837274549098199,-9.719103235716473,,,,,
Interpolated,12.859118236472948,-9.74016174330471,,,,,
Interpolated,12.880961923847698,-9.76106311463075,,,,,
Interpolated,12.902805611222448,-9.781809037441874,,,,,
Interpolated,12.924649298597197,-9.802401199485384,,,,,
Interpolated,12.946492985971947,-9.822841288508567,,,,,
Interpolated,12.968336673346696,-9.843130992258715,,,,,
Interpolated,12.990180360721446,-9.863271998483127,,,,,
Interpolated,13.012024048096196,-9.883265964373996,,,,,
Interpolated,13.033867735470945,-9.903113986549481,,,,,
Interpolated,13.055711422845693,-9.92281667024019,,,,,
Interpolated,13.077555110220445,-9.942374604034246,,,,,
Interpolated,13.099398797595192,-9.961788376519767,,,,,
Interpolated,13.121242484969944,-9.981058576284878,,,,,
Interpolated,13.143086172344692,-10.000185791917703,,,,,
Interpolated,13.164929859719441,-10.019170612006361,,,,,
Interpolated,13.186773547094191,-10.03801362513898,,,,,
Interpolated,13.20861723446894,-10.056715419903677,,,,,
Interpolated,13.23046092184369,-10.07527658488858,,,,,
