Type,Volume,Energy,Periodic Boundary Conditions,a_x,a_y,a_z,b_x,b_y,b_z,c_x,c_y,c_z,Model,v0,e0,Bulk_Modulus_GPa
Raw,20.50000000000001,-11.930730819702148,[ True  True  True],0.0,2.172240742884306,2.172240742884306,2.172240742884306,0.0,2.172240742884306,2.172240742884306,2.172240742884306,0.0,,,,
Raw,20.80000000000001,-11.91361141204834,[ True  True  True],0.0,2.182785766122212,2.182785766122212,2.182785766122212,0.0,2.182785766122212,2.182785766122212,2.182785766122212,0.0,,,,
Raw,21.100000000000012,-11.893448829650879,[ True  True  True],0.0,2.193229876177714,2.193229876177714,2.193229876177714,0.0,2.193229876177714,2.193229876177714,2.193229876177714,0.0,,,,
Raw,21.400000000000013,-11.87045955657959,[ True  True  True],0.0,2.203575453221626,2.203575453221626,2.203575453221626,0.0,2.203575453221626,2.203575453221626,2.203575453221626,0.0,,,,
EOS,,,,,,,,,,,,,birchmurnaghan,19.253681343950195,-11.964584924408276,153.45962349332333
EOS,,,,,,,,,,,,,murnaghan,19.23797738995395,-11.96803403941224,163.4796537025946
EOS,,,,,,,,,,,,,sjeos,19.260698167345474,-11.963447059501945,150.03560049713934
EOS,,,,,,,,,,,,,taylor,18.723273651330405,-11.92565798365946,98.27375375196455
EOS,,,,,,,,,,,,,birch,19.253681348745623,-11.964584924216672,153.45962287352538
Interpolated,10.5,-6.597945213317872,,,,,,,,,,,,,,
Interpolated,10.52184368737475,-6.6412085760252,,,,,,,,,,,,,,
Interpolated,10.5436873747495,-6.684229665770145,,,,,,,,,,,,,,
Interpolated,10.565531062124249,-6.72700876947144,,,,,,,,,,,,,,
Interpolated,10.587374749498998,-6.769546174047807,,,,,,,,,,,,,,
Interpolated,10.609218436873748,-6.811842166417968,,,,,,,,,,,,,,
Interpolated,10.631062124248498,-6.85389703350065,,,,,,,,,,,,,,
Interpolated,10.652905811623247,-6.895711062214576,,,,,,,,,,,,,,
Interpolated,10.674749498997997,-6.937284539478472,,,,,,,,,,,,,,
Interpolated,10.696593186372745,-6.978617752211057,,,,,,,,,,,,,,
Interpolated,10.718436873747494,-7.019710987331064,,,,,,,,,,,,,,
Interpolated,10.740280561122244,-7.060564531757214,,,,,,,,,,,,,,
Interpolated,10.762124248496994,-7.101178672408231,,,,,,,,,,,,,,
Interpolated,10.783967935871743,-7.14155369620284,,,,,,,,,,,,,,
Interpolated,10.805811623246493,-7.181689890059767,,,,,,,,,,,,,,
Interpolated,10.827655310621243,-7.221587540897732,,,,,,,,,,,,,,
Interpolated,10.849498997995992,-7.261246935635462,,,,,,,,,,,,,,
Interpolated,10.871342685370742,-7.3006683611916845,,,,,,,,,,,,,,
Interpolated,10.893186372745491,-7.339852104485119,,,,,,,,,,,,,,
Interpolated,10.915030060120241,-7.378798452434494,,,,,,,,,,,,,,
Interpolated,10.93687374749499,-7.417507691958532,,,,,,,,,,,,,,
Interpolated,10.95871743486974,-7.455980109975959,,,,,,,,,,,,,,
Interpolated,10.98056112224449,-7.494215993405496,,,,,,,,,,,,,,
Interpolated,11.00240480961924,-7.532215629165872,,,,,,,,,,,,,,
Interpolated,11.02424849699399,-7.569979304175811,,,,,,,,,,,,,,
Interpolated,11.046092184368739,-7.6075073053540345,,,,,,,,,,,,,,
Interpolated,11.067935871743488,-7.644799919619269,,,,,,,,,,,,,,
Interpolated,11.089779559118238,-7.681857433890238,,,,,,,,,,,,,,
Interpolated,11.111623246492986,-7.718680135085666,,,,,,,,,,,,,,
Interpolated,11.133466933867735,-7.755268310124278,,,,,,,,,,,,,,
Interpolated,11.155310621242485,-7.7916222459248,,,,,,,,,,,,,,
Interpolated,11.177154308617235,-7.827742229405956,,,,,,,,,,,,,,
Interpolated,11.198997995991984,-7.863628547486469,,,,,,,,,,,,,,
Interpolated,11.220841683366734,-7.899281487085067,,,,,,,,,,,,,,
Interpolated,11.242685370741484,-7.934701335120469,,,,,,,,,,,,,,
Interpolated,11.264529058116233,-7.969888378511403,,,,,,,,,,,,,,
Interpolated,11.286372745490983,-8.004842904176593,,,,,,,,,,,,,,
Interpolated,11.308216432865732,-8.039565199034762,,,,,,,,,,,,,,
Interpolated,11.330060120240482,-8.074055550004639,,,,,,,,,,,,,,
Interpolated,11.351903807615232,-8.108314244004944,,,,,,,,,,,,,,
Interpolated,11.373747494989981,-8.142341567954402,,,,,,,,,,,,,,
Interpolated,11.395591182364731,-8.176137808771742,,,,,,,,,,,,,,
Interpolated,11.41743486973948,-8.209703253375682,,,,,,,,,,,,,,
Interpolated,11.43927855711423,-8.243038188684952,,,,,,,,,,,,,,
Interpolated,11.46112224448898,-8.276142901618272,,,,,,,,,,,,,,
Interpolated,11.48296593186373,-8.30901767909437,,,,,,,,,,,,,,
Interpolated,11.504809619238479,-8.341662808266076,,,,,,,,,,,,,,
Interpolated,11.526653306613227,-8.37407861519104,,,,,,,,,,,,,,
Interpolated,11.548496993987976,-8.406265507973673,,,,,,,,,,,,,,
Interpolated,11.570340681362726,-8.438223905118418,,,,,,,,,,,,,,
Interpolated,11.592184368737476,-8.469954225129717,,,,,,,,,,,,,,
Interpolated,11.614028056112225,-8.501456886512004,,,,,,,,,,,,,,
Interpolated,11.635871743486975,-8.532732307769727,,,,,,,,,,,,,,
Interpolated,11.657715430861725,-8.563780907407322,,,,,,,,,,,,,,
Interpolated,11.679559118236474,-8.594603103929236,,,,,,,,,,,,,,
Interpolated,11.701402805611224,-8.625199315839904,,,,,,,,,,,,,,
Interpolated,11.723246492985973,-8.655569961643769,,,,,,,,,,,,,,
Interpolated,11.745090180360723,-8.685715459845277,,,,,,,,,,,,,,
Interpolated,11.766933867735473,-8.715636228948862,,,,,,,,,,,,,,
Interpolated,11.788777555110222,-8.74533268745897,,,,,,,,,,,,,,
Interpolated,11.810621242484972,-8.77480525388004,,,,,,,,,,,,,,
Interpolated,11.832464929859722,-8.804054346716512,,,,,,,,,,,,,,
Interpolated,11.854308617234471,-8.833080384472828,,,,,,,,,,,,,,
Interpolated,11.87615230460922,-8.861883785653431,,,,,,,,,,,,,,
Interpolated,11.897995991983969,-8.89046496876276,,,,,,,,,,,,,,
Interpolated,11.91983967935872,-8.91882435230526,,,,,,,,,,,,,,
Interpolated,11.941683366733468,-8.946962354785367,,,,,,,,,,,,,,
Interpolated,11.963527054108217,-8.974879394707523,,,,,,,,,,,,,,
Interpolated,11.985370741482967,-9.002575890576173,,,,,,,,,,,,,,
Interpolated,12.007214428857717,-9.030052265266917,,,,,,,,,,,,,,
Interpolated,12.029058116232466,-9.057309209793889,,,,,,,,,,,,,,
Interpolated,12.050901803607216,-9.084347834196079,,,,,,,,,,,,,,
