Type,Volume,Energy,Periodic Boundary Conditions,a_x,a_y,a_z,b_x,b_y,b_z,c_x,c_y,c_z,Model,v0,e0,Bulk_Modulus_GPa
Raw,17.800000000000004,-11.850089073181152,[ True  True  True],0.0,2.072351098059261,2.072351098059261,2.072351098059261,0.0,2.072351098059261,2.072351098059261,2.072351098059261,0.0,,,,
Raw,18.100000000000005,-11.873208045959473,[ True  True  True],0.0,2.0839287187204754,2.0839287187204754,2.0839287187204754,0.0,2.0839287187204754,2.0839287187204754,2.0839287187204754,0.0,,,,
Raw,18.400000000000006,-11.890506744384766,[ True  True  True],0.0,2.0953791063432945,2.0953791063432945,2.0953791063432945,0.0,2.0953791063432945,2.0953791063432945,2.0953791063432945,0.0,,,,
Raw,18.700000000000006,-11.902557373046875,[ True  True  True],0.0,2.106705699930155,2.106705699930155,2.106705699930155,0.0,2.106705699930155,2.106705699930155,2.106705699930155,0.0,,,,
Raw,19.000000000000007,-11.909814834594727,[ True  True  True],0.0,2.1179117921274466,2.1179117921274466,2.1179117921274466,0.0,2.1179117921274466,2.1179117921274466,2.1179117921274466,0.0,,,,
Raw,19.19,-11.912089347839355,[ True  True  True],0.0,2.124948095618028,2.124948095618028,2.124948095618028,0.0,2.124948095618028,2.124948095618028,2.124948095618028,0.0,,,,
Raw,19.300000000000008,-11.912614822387695,[ True  True  True],0.0,2.129000537655505,2.129000537655505,2.129000537655505,0.0,2.129000537655505,2.129000537655505,2.129000537655505,0.0,,,,
Raw,19.60000000000001,-11.911185264587402,[ True  True  True],0.0,2.139974961130159,2.139974961130159,2.139974961130159,0.0,2.139974961130159,2.139974961130159,2.139974961130159,0.0,,,,
Raw,19.90000000000001,-11.905691146850586,[ True  True  True],0.0,2.150837964328351,2.150837964328351,2.150837964328351,0.0,2.150837964328351,2.150837964328351,2.150837964328351,0.0,,,,
Raw,20.20000000000001,-11.896281242370605,[ True  True  True],0.0,2.161592332945083,2.161592332945083,2.161592332945083,0.0,2.161592332945083,2.161592332945083,2.161592332945083,0.0,,,,
Raw,20.50000000000001,-11.883142471313477,[ True  True  True],0.0,2.172240742884306,2.172240742884306,2.172240742884306,0.0,2.172240742884306,2.172240742884306,2.172240742884306,0.0,,,,
Raw,20.80000000000001,-11.866537094116211,[ True  True  True],0.0,2.182785766122212,2.182785766122212,2.182785766122212,0.0,2.182785766122212,2.182785766122212,2.182785766122212,0.0,,,,
Raw,21.100000000000012,-11.846817016601562,[ True  True  True],0.0,2.193229876177714,2.193229876177714,2.193229876177714,0.0,2.193229876177714,2.193229876177714,2.193229876177714,0.0,,,,
Raw,21.400000000000013,-11.824370384216309,[ True  True  True],0.0,2.203575453221626,2.203575453221626,2.203575453221626,0.0,2.203575453221626,2.203575453221626,2.203575453221626,0.0,,,,
EOS,,,,,,,,,,,,,birchmurnaghan,19.278860848780386,-11.915212979653614,152.67494903287388
EOS,,,,,,,,,,,,,murnaghan,19.25787342235066,-11.919103326555042,164.31790528067492
EOS,,,,,,,,,,,,,sjeos,19.28636309634393,-11.913037842287054,146.21028075228904
EOS,,,,,,,,,,,,,taylor,18.575323216192633,-11.870210950831895,107.70778622098315
EOS,,,,,,,,,,,,,birch,19.27886087893258,-11.915212979269853,152.67494600376477
Interpolated,10.5,-6.004418373107911,,,,,,,,,,,,,,
Interpolated,10.52184368737475,-6.058455920238316,,,,,,,,,,,,,,
Interpolated,10.5436873747495,-6.112023375761178,,,,,,,,,,,,,,
Interpolated,10.565531062124249,-6.165123624516882,,,,,,,,,,,,,,
Interpolated,10.587374749498998,-6.2177595513458055,,,,,,,,,,,,,,
Interpolated,10.609218436873748,-6.269934041088328,,,,,,,,,,,,,,
Interpolated,10.631062124248498,-6.3216499785848335,,,,,,,,,,,,,,
Interpolated,10.652905811623247,-6.372910248675699,,,,,,,,,,,,,,
Interpolated,10.674749498997997,-6.423717736201307,,,,,,,,,,,,,,
Interpolated,10.696593186372745,-6.4740753260020325,,,,,,,,,,,,,,
Interpolated,10.718436873747494,-6.523985902918268,,,,,,,,,,,,,,
Interpolated,10.740280561122244,-6.573452351790383,,,,,,,,,,,,,,
Interpolated,10.762124248496994,-6.622477557458764,,,,,,,,,,,,,,
Interpolated,10.783967935871743,-6.671064404763792,,,,,,,,,,,,,,
Interpolated,10.805811623246493,-6.719215778545843,,,,,,,,,,,,,,
Interpolated,10.827655310621243,-6.766934563645299,,,,,,,,,,,,,,
Interpolated,10.849498997995992,-6.814223644902542,,,,,,,,,,,,,,
Interpolated,10.871342685370742,-6.861085907157953,,,,,,,,,,,,,,
Interpolated,10.893186372745491,-6.907524235251911,,,,,,,,,,,,,,
Interpolated,10.915030060120241,-6.9535415140247965,,,,,,,,,,,,,,
Interpolated,10.93687374749499,-6.999140628316992,,,,,,,,,,,,,,
Interpolated,10.95871743486974,-7.044324462968875,,,,,,,,,,,,,,
Interpolated,10.98056112224449,-7.089095902820827,,,,,,,,,,,,,,
Interpolated,11.00240480961924,-7.133457832713231,,,,,,,,,,,,,,
